DATE,DJIA
2017-08-16,22024.87
2017-08-17,21750.73
2017-08-18,21674.51
2017-08-21,21703.75
2017-08-22,21899.89
2017-08-23,21812.09
2017-08-24,21783.40
2017-08-25,21813.67
2017-08-28,21808.40
2017-08-29,21865.37
2017-08-30,21892.43
2017-08-31,21948.10
2017-09-01,21987.56
2017-09-04,.
2017-09-05,21753.31
2017-09-06,21807.64
2017-09-07,21784.78
2017-09-08,21797.79
2017-09-11,22057.37
2017-09-12,22118.86
2017-09-13,22158.18
2017-09-14,22203.48
2017-09-15,22268.34
2017-09-18,22331.35
2017-09-19,22370.80
2017-09-20,22412.59
2017-09-21,22359.23
2017-09-22,22349.59
2017-09-25,22296.09
2017-09-26,22284.32
2017-09-27,22340.71
2017-09-28,22381.20
2017-09-29,22405.09
2017-10-02,22557.60
2017-10-03,22641.67
2017-10-04,22661.64
2017-10-05,22775.39
2017-10-06,22773.67
2017-10-09,22761.07
2017-10-10,22830.68
2017-10-11,22872.89
2017-10-12,22841.01
2017-10-13,22871.72
2017-10-16,22956.96
2017-10-17,22997.44
2017-10-18,23157.60
2017-10-19,23163.04
2017-10-20,23328.63
2017-10-23,23273.96
2017-10-24,23441.76
2017-10-25,23329.46
2017-10-26,23400.86
2017-10-27,23434.19
2017-10-30,23348.74
2017-10-31,23377.24
2017-11-01,23435.01
2017-11-02,23516.26
2017-11-03,23539.19
2017-11-06,23548.42
2017-11-07,23557.23
2017-11-08,23563.36
2017-11-09,23461.94
2017-11-10,23422.21
2017-11-13,23439.70
2017-11-14,23409.47
2017-11-15,23271.28
2017-11-16,23458.36
2017-11-17,23358.24
2017-11-20,23430.33
2017-11-21,23590.83
2017-11-22,23526.18
2017-11-23,.
2017-11-24,23557.99
2017-11-27,23580.78
2017-11-28,23836.71
2017-11-29,23940.68
2017-11-30,24272.35
2017-12-01,24231.59
2017-12-04,24290.05
2017-12-05,24180.64
2017-12-06,24140.91
2017-12-07,24211.48
2017-12-08,24329.16
2017-12-11,24386.03
2017-12-12,24504.80
2017-12-13,24585.43
2017-12-14,24508.66
2017-12-15,24651.74
2017-12-18,24792.20
2017-12-19,24754.75
2017-12-20,24726.65
2017-12-21,24782.29
2017-12-22,24754.06
2017-12-25,.
2017-12-26,24746.21
2017-12-27,24774.30
2017-12-28,24837.51
2017-12-29,24719.22
2018-01-01,.
2018-01-02,24824.01
2018-01-03,24922.68
2018-01-04,25075.13
2018-01-05,25295.87
2018-01-08,25283.00
2018-01-09,25385.80
2018-01-10,25369.13
2018-01-11,25574.73
2018-01-12,25803.19
2018-01-15,.
2018-01-16,25792.86
2018-01-17,26115.65
2018-01-18,26017.81
2018-01-19,26071.72
2018-01-22,26214.60
2018-01-23,26210.81
2018-01-24,26252.12
2018-01-25,26392.79
2018-01-26,26616.71
2018-01-29,26439.48
2018-01-30,26076.89
2018-01-31,26149.39
2018-02-01,26186.71
2018-02-02,25520.96
2018-02-05,24345.75
2018-02-06,24912.77
2018-02-07,24893.35
2018-02-08,23860.46
2018-02-09,24190.90
2018-02-12,24601.27
2018-02-13,24640.45
2018-02-14,24893.49
2018-02-15,25200.37
2018-02-16,25219.38
2018-02-19,.
2018-02-20,24964.75
2018-02-21,24797.78
2018-02-22,24962.48
2018-02-23,25309.99
2018-02-26,25709.27
2018-02-27,25410.03
2018-02-28,25029.20
2018-03-01,24608.98
2018-03-02,24538.06
2018-03-05,24874.76
2018-03-06,24884.12
2018-03-07,24801.36
2018-03-08,24895.21
2018-03-09,25335.74
2018-03-12,25178.61
2018-03-13,25007.03
2018-03-14,24758.12
2018-03-15,24873.66
2018-03-16,24946.51
2018-03-19,24610.91
2018-03-20,24727.27
2018-03-21,24682.31
2018-03-22,23957.89
2018-03-23,23533.20
2018-03-26,24202.60
2018-03-27,23857.71
2018-03-28,23848.42
2018-03-29,24103.11
2018-03-30,.
2018-04-02,23644.19
2018-04-03,24033.36
2018-04-04,24264.30
2018-04-05,24505.22
2018-04-06,23932.76
2018-04-09,23979.10
2018-04-10,24408.00
2018-04-11,24189.45
2018-04-12,24483.05
2018-04-13,24360.14
2018-04-16,24573.04
2018-04-17,24786.63
2018-04-18,24748.07
2018-04-19,24664.89
2018-04-20,24462.94
2018-04-23,24448.69
2018-04-24,24024.13
2018-04-25,24083.83
2018-04-26,24322.34
2018-04-27,24311.19
2018-04-30,24163.15
2018-05-01,24099.05
2018-05-02,23924.98
2018-05-03,23930.15
2018-05-04,24262.51
2018-05-07,24357.32
2018-05-08,24360.21
2018-05-09,24542.54
2018-05-10,24739.53
2018-05-11,24831.17
2018-05-14,24899.41
2018-05-15,24706.41
2018-05-16,24768.93
2018-05-17,24713.98
2018-05-18,24715.09
2018-05-21,25013.29
2018-05-22,24834.41
2018-05-23,24886.81
2018-05-24,24811.76
2018-05-25,24753.09
2018-05-28,.
2018-05-29,24361.45
2018-05-30,24667.78
2018-05-31,24415.84
2018-06-01,24635.21
2018-06-04,24813.69
2018-06-05,24799.98
2018-06-06,25146.39
2018-06-07,25241.41
2018-06-08,25316.53
2018-06-11,25322.31
2018-06-12,25320.73
2018-06-13,25201.20
2018-06-14,25175.31
2018-06-15,25090.48
2018-06-18,24987.47
2018-06-19,24700.21
2018-06-20,24657.80
2018-06-21,24461.70
2018-06-22,24580.89
2018-06-25,24252.80
2018-06-26,24283.11
2018-06-27,24117.59
2018-06-28,24216.05
2018-06-29,24271.41
2018-07-02,24307.18
2018-07-03,24174.82
2018-07-04,.
2018-07-05,24356.74
2018-07-06,24456.48
2018-07-09,24776.59
2018-07-10,24919.66
2018-07-11,24700.45
2018-07-12,24924.89
2018-07-13,25019.41
2018-07-16,25064.36
2018-07-17,25119.89
2018-07-18,25199.29
2018-07-19,25064.50
2018-07-20,25058.12
2018-07-23,25044.29
2018-07-24,25241.94
2018-07-25,25414.10
2018-07-26,25527.07
2018-07-27,25451.06
2018-07-30,25306.83
2018-07-31,25415.19
2018-08-01,25333.82
2018-08-02,25326.16
2018-08-03,25462.58
2018-08-06,25502.18
2018-08-07,25628.91
2018-08-08,25583.75
2018-08-09,25509.23
2018-08-10,25313.14
2018-08-13,25187.70
2018-08-14,25299.92
2018-08-15,25162.41
2018-08-16,25558.73
2018-08-17,25669.32
2018-08-20,25758.69
2018-08-21,25822.29
2018-08-22,25733.60
2018-08-23,25656.98
2018-08-24,25790.35
2018-08-27,26049.64
2018-08-28,26064.02
2018-08-29,26124.57
2018-08-30,25986.92
2018-08-31,25964.82
2018-09-03,.
2018-09-04,25952.48
2018-09-05,25974.99
2018-09-06,25995.87
2018-09-07,25916.54
2018-09-10,25857.07
2018-09-11,25971.06
2018-09-12,25998.92
2018-09-13,26145.99
2018-09-14,26154.67
2018-09-17,26062.12
2018-09-18,26246.96
2018-09-19,26405.76
2018-09-20,26656.98
2018-09-21,26743.50
2018-09-24,26562.05
2018-09-25,26492.21
2018-09-26,26385.28
2018-09-27,26439.93
2018-09-28,26458.31
2018-10-01,26651.21
2018-10-02,26773.94
2018-10-03,26828.39
2018-10-04,26627.48
2018-10-05,26447.05
2018-10-08,.
2018-10-09,26430.57
2018-10-10,25598.74
2018-10-11,25052.83
2018-10-12,25339.99
2018-10-15,25250.55
2018-10-16,25798.42
2018-10-17,25706.68
2018-10-18,25379.45
2018-10-19,25444.34
2018-10-22,25317.41
2018-10-23,25191.43
2018-10-24,24583.42
2018-10-25,24984.55
2018-10-26,24688.31
2018-10-29,24442.92
2018-10-30,24874.64
2018-10-31,25115.76
2018-11-01,25380.74
2018-11-02,25270.83
2018-11-05,25461.70
2018-11-06,25635.01
2018-11-07,26180.30
2018-11-08,26191.22
2018-11-09,25989.30
2018-11-12,.
2018-11-13,25286.49
2018-11-14,25080.50
2018-11-15,25289.27
2018-11-16,25413.22
2018-11-19,25017.44
2018-11-20,24465.64
2018-11-21,24464.69
2018-11-22,.
2018-11-23,24285.95
2018-11-26,24640.24
2018-11-27,24748.73
2018-11-28,25366.43
2018-11-29,25338.84
2018-11-30,25538.46
2018-12-03,25826.43
2018-12-04,25027.07
2018-12-05,.
2018-12-06,24947.67
2018-12-07,24388.95
